# Колода: lesson — слова с занятий
# формат: слово | перевод | /транскрипция/ | пример EN | пример RU

# --- базовая лексика ---
midnight | полночь | /ˈmɪdnaɪt/ | We stayed up until midnight. | Мы не ложились до полуночи.
stay up | не ложиться спать, засидеться допоздна | /ˌsteɪ ˈʌp/ | I stayed up late last night. | Вчера я засиделся допоздна.
make myself | заставить себя | /ˌmeɪk maɪˈself/ | I cannot make myself get up early. | Я не могу заставить себя вставать рано.
by bus | на автобусе | /baɪ ˈbʌs/ | I usually go to work by bus. | Обычно я езжу на работу на автобусе.
by train | на поезде | /baɪ ˈtreɪn/ | We travelled by train. | Мы ехали на поезде.
by car | на машине | /baɪ ˈkɑː/ | It is faster by car. | На машине быстрее.
public transport | общественный транспорт | /ˌpʌblɪk ˈtrænspɔːt/ | I go everywhere by public transport. | Я везде езжу на общественном транспорте.

# --- дом, семья, быт ---
earphones | наушники | /ˈɪəfəʊnz/ | I have lost my earphones. | Я потерял наушники.
bookshelf | книжная полка | /ˈbʊkʃelf/ | Put the book on the bookshelf. | Поставь книгу на полку.
living room | гостиная | /ˈlɪvɪŋ ruːm/ | We watch films in the living room. | Мы смотрим фильмы в гостиной.
family | семья | /ˈfæməli/ | My family lives nearby. | Моя семья живёт рядом.
surname | фамилия | /ˈsɜːneɪm/ | What is your surname? | Какая у вас фамилия?
place | место | /pleɪs/ | This is my favourite place. | Это моё любимое место.
advice | совет | /ədˈvaɪs/ | Thank you for your advice. | Спасибо за совет.
pandemic | пандемия | /pænˈdemɪk/ | The pandemic has changed our habits. | Пандемия изменила наши привычки.
business | бизнес, дело | /ˈbɪznəs/ | He has started his own business. | Он открыл своё дело.

# --- деньги и характер ---
stocks | акции | /stɒks/ | He has bought some stocks. | Он купил акции.
stroke | инсульт; удар; гладить | /strəʊk/ | He had a stroke last year. | В прошлом году у него был инсульт.
saver | тот, кто копит (экономный человек) | /ˈseɪvə/ | My wife is a saver, I am a spender. | Жена копит, а я трачу.
spender | тот, кто тратит, транжира | /ˈspendə/ | He is a big spender. | Он тот ещё транжира.
morning person | жаворонок, активен утром | /ˈmɔːnɪŋ ˌpɜːsn/ | I am a morning person. | Я жаворонок.
night person | сова, активен ночью | /ˈnaɪt ˌpɜːsn/ | She is a night person. | Она сова.
boring | скучный | /ˈbɔːrɪŋ/ | The film was boring. | Фильм был скучным.
worth it | того стоит | /ˈwɜːθ ɪt/ | It was hard, but worth it. | Было трудно, но оно того стоило.
disappointed | разочарованный | /ˌdɪsəˈpɔɪntɪd/ | I was disappointed with the result. | Я был разочарован результатом.
regret | жалеть, сожалеть | /rɪˈɡret/ | I regret nothing. | Я ни о чём не жалею.
receive | получать | /rɪˈsiːv/ | I have received your letter. | Я получил твоё письмо.
write it down | записать | /ˌraɪt ɪt ˈdaʊn/ | Write it down so you do not forget. | Запиши, чтобы не забыть.

# --- праздник ---
firework | фейерверк | /ˈfaɪəwɜːk/ | The fireworks lasted ten minutes. | Фейерверк длился десять минут.
parade | парад | /pəˈreɪd/ | We have just watched the parade. | Мы только что посмотрели парад.
achievement | достижение | /əˈtʃiːvmənt/ | This is a real achievement. | Это настоящее достижение.
masterpiece | шедевр | /ˈmɑːstəpiːs/ | This painting is a masterpiece. | Эта картина — шедевр.
layer | слой | /ˈleɪə/ | Put on another layer, it is cold. | Надень ещё один слой, холодно.

# --- еда ---
preserve | консервировать, сохранять | /prɪˈzɜːv/ | They preserve fish in salt. | Рыбу они консервируют в соли.
throw away | выбрасывать | /ˌθrəʊ əˈweɪ/ | Do not throw away the receipt. | Не выбрасывай чек.
tastes | вкусы | /teɪsts/ | Tastes differ. | Вкусы у всех разные.
semi-finished products | полуфабрикаты | /ˌsemi ˈfɪnɪʃt ˈprɒdʌkts/ | I try to avoid semi-finished products. | Я стараюсь избегать полуфабрикатов.

# --- ещё один маркер Present Perfect ---
up to now | до сих пор, к настоящему моменту | /ˌʌp tə ˈnaʊ/ | Up to now we have had no problems. | До сих пор у нас не было проблем.
